pesticide,crop
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Cereals and Seed
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Dals)
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)","De-oiled Cakes,"
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)","De-oiled cakes,"
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Flour Suji meals
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Godowns & Sheds
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Grain Animal &
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)","Grains Millet,"
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Mild Products:
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Milled products:
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)","Millets, pulses, dry"
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Name of Commodity
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Nuts Spices & Oil
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Other processed
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Poultry Food Split
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Pulses (Dal) &
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)","Pulses Dry Fruits,"
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)","Rice Bran Flour,"
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Rice bran
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Seeds
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Stored Whole
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",Stored whole
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",and Crushed grain
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",cereals and seed
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",condition)
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)","feed), Split Pulses"
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",food and Empty
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)","fruits, nuts, spices"
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",godowns)
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",grains.
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",other Processed
"Aluminum Phosphide 56 % (3g Tablet, 10g Pouch)",tight cover or
Ametoctradin 27%+ Dimethomorph 20.27% w/w SC,Cucumber
Ametoctradin 27%+ Dimethomorph 20.27% w/w SC,Grape
Ametoctradin 27%+ Dimethomorph 20.27% w/w SC,Groundnut
Ametoctradin 27%+ Dimethomorph 20.27% w/w SC,Potato
Ametoctradin 27%+ Dimethomorph 20.27% w/w SC,Soybean
Ametoctradin 27%+ Dimethomorph 20.27% w/w SC,Tomato
Ametryn 73.1% w/w + Trifloxysulfuron sodium 1.8% w/w WG,Sugarcane
Ametryn 80% WG,Sugarcane
Amisulbrom 20% SC,Potato
Anilofos 18% EC,Paddy
Anilofos 18% EC,Transplanted
Anilofos 18% EC,Transplanted rice
Anilofos 30% EC,Transplanted
Anilofos 30% EC,paddy
Aureofungin 46.15% w/v SP,Apple
Aureofungin 46.15% w/v SP,Citrus
Aureofungin 46.15% w/v SP,Grapes
Aureofungin 46.15% w/v SP,Paddy(Rice)
Aureofungin 46.15% w/v SP,Potato
Azoxystrobin 1.3% + Tebuconazole 0.22% + Thiamethoxam 25.9% FS,Okra (seed
Azoxystrobin 1.3% + Tebuconazole 0.22% + Thiamethoxam 25.9% FS,treatment)
Azoxystrobin 10.0% + Fipronil 5% SC,Chilli
Azoxystrobin 10.0% + Fipronil 5% SC,Cotton
Azoxystrobin 10.0% + Fipronil 5% SC,Rice
Azoxystrobin 11.5% + Mancozeb 30% WP,Apple
Azoxystrobin 11.5% + Mancozeb 30% WP,Chilli
Azoxystrobin 11.5% + Mancozeb 30% WP,Cucumber
Azoxystrobin 11.5% + Mancozeb 30% WP,Grape
Azoxystrobin 11.5% + Mancozeb 30% WP,Grapes
Azoxystrobin 11.5% + Mancozeb 30% WP,Onion
Azoxystrobin 11.5% + Mancozeb 30% WP,Paddy
Azoxystrobin 11.5% + Mancozeb 30% WP,Potato
Azoxystrobin 11.5% + Mancozeb 30% WP,Rice
Azoxystrobin 11.5% + Mancozeb 30% WP,Rice (Paddy)
Azoxystrobin 11.5% + Mancozeb 30% WP,Tomato
Azoxystrobin 11.5% + Mancozeb 30% WP,Wheat
Azoxystrobin 14 %  + Epoxiconazole 9 %  SC,Onion
Azoxystrobin 14 %  + Epoxiconazole 9 %  SC,Paddy
Azoxystrobin 14 %  + Epoxiconazole 9 %  SC,Pomegranate
Azoxystrobin 14 %  + Epoxiconazole 9 %  SC,Potato
Azoxystrobin 14 %  + Epoxiconazole 9 %  SC,Rice
Azoxystrobin 14 %  + Epoxiconazole 9 %  SC,Soybean
Azoxystrobin 14 %  + Epoxiconazole 9 %  SC,Tomato
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Black gram
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Chilli
Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Coffee
