pesticide,crop
Chlorantraniliprole 0.45% + Fipronil 0.50% + Emamectin Benzoate 0.18% GR,Paddy
Chlorantraniliprole 0.45% + Fipronil 0.50% + Emamectin Benzoate 0.18% GR,Tomato
Chlorantraniliprole 0.53% w/w + Fipronil 0.8% w/w GR,Chilli
Chlorantraniliprole 0.53% w/w + Fipronil 0.8% w/w GR,Cotton
Chlorantraniliprole 0.53% w/w + Fipronil 0.8% w/w GR,Paddy
Chlorantraniliprole 0.53% w/w + Fipronil 0.8% w/w GR,Rice
Chlorantraniliprole 0.53% w/w + Fipronil 0.8% w/w GR,Sugarcane
Chlorantraniliprole 0.64% + Tebuconazole 3% + Clothianidin 1.92% GR,Paddy
Chlorantraniliprole 0.83% + Fipronil 1.33% GR,Cotton
Chlorantraniliprole 0.83% + Fipronil 1.33% GR,Paddy
Chlorantraniliprole 00.40 % GR,Maize
Chlorantraniliprole 00.40 % GR,Rice (Paddy)
Chlorantraniliprole 00.40 % GR,Sugarcane
Chlorantraniliprole 00.50 % + Thiamethoxam 01 % w/w GR,Rice
Chlorantraniliprole 08.80 % + Thiamethoxam 17.50 % w/w SC,Brinjal
Chlorantraniliprole 08.80 % + Thiamethoxam 17.50 % w/w SC,Cabbage
Chlorantraniliprole 08.80 % + Thiamethoxam 17.50 % w/w SC,Okra
Chlorantraniliprole 08.80 % + Thiamethoxam 17.50 % w/w SC,Rice
Chlorantraniliprole 08.80 % + Thiamethoxam 17.50 % w/w SC,Rice (Paddy)
Chlorantraniliprole 08.80 % + Thiamethoxam 17.50 % w/w SC,Tomato
Chlorantraniliprole 09.30 % + Lambda-cyhalothrin 04.60 % ZC,Blackgram
Chlorantraniliprole 09.30 % + Lambda-cyhalothrin 04.60 % ZC,Brinjal
Chlorantraniliprole 09.30 % + Lambda-cyhalothrin 04.60 % ZC,Cabbage
Chlorantraniliprole 09.30 % + Lambda-cyhalothrin 04.60 % ZC,Cotton
Chlorantraniliprole 09.30 % + Lambda-cyhalothrin 04.60 % ZC,Groundnut
Chlorantraniliprole 09.30 % + Lambda-cyhalothrin 04.60 % ZC,Maize
Chlorantraniliprole 09.30 % + Lambda-cyhalothrin 04.60 % ZC,Okra
Chlorantraniliprole 09.30 % + Lambda-cyhalothrin 04.60 % ZC,Pigeon pea
Chlorantraniliprole 09.30 % + Lambda-cyhalothrin 04.60 % ZC,Pomegranate
Chlorantraniliprole 09.30 % + Lambda-cyhalothrin 04.60 % ZC,Rice
Chlorantraniliprole 09.30 % + Lambda-cyhalothrin 04.60 % ZC,Soybean
Chlorantraniliprole 10% w/w + Novaluron 20% w/w SC,Cabbage
Chlorantraniliprole 10% w/w + Novaluron 20% w/w SC,Chilli
Chlorantraniliprole 10% w/w + Novaluron 20% w/w SC,Maize
Chlorantraniliprole 18.50 % SC,Bengal gram
Chlorantraniliprole 18.50 % SC,Bitter gourd
Chlorantraniliprole 18.50 % SC,Black gram
Chlorantraniliprole 18.50 % SC,Brinjal
Chlorantraniliprole 18.50 % SC,Cabbage
Chlorantraniliprole 18.50 % SC,Chilli
Chlorantraniliprole 18.50 % SC,Cotton
Chlorantraniliprole 18.50 % SC,Green gram
Chlorantraniliprole 18.50 % SC,Groundnut
Chlorantraniliprole 18.50 % SC,Maize
Chlorantraniliprole 18.50 % SC,Okra (Bhindi)
Chlorantraniliprole 18.50 % SC,Pigeon pea
Chlorantraniliprole 18.50 % SC,Red Gram
Chlorantraniliprole 18.50 % SC,Rice
Chlorantraniliprole 18.50 % SC,Soybean
Chlorantraniliprole 18.50 % SC,Sugarcane
Chlorantraniliprole 18.50 % SC,Tomato
Chlorantraniliprole 35 % WG,Okra
Chlorantraniliprole 35 % WG,Tomato
Chlorfluazuron 05.40 % EC,Cabbage
Chlorfluazuron 05.40 % EC,Chilli
Chlorfluazuron 05.40 % EC,Cotton
Chlorfluazuron 05.40 % EC,Soybean
Chlorfluazuron 05.40 % EC,Tomato
Chlorothalonil 12.5% + Mancozeb 62.5% WG,Grape
Chlorothalonil 12.5% + Mancozeb 62.5% WG,Potato
Chlorothalonil 40.0% w/w + Difenoconazole 4.0 w/w SC,Apple
Chlorothalonil 40.0% w/w + Difenoconazole 4.0 w/w SC,Chilli
Chlorothalonil 40.0% w/w + Difenoconazole 4.0 w/w SC,Ground nut
Chlorothalonil 40.0% w/w + Difenoconazole 4.0 w/w SC,Tomato
Chlorothalonil 75% WP,Apple
Chlorothalonil 75% WP,Cauliflower
Chlorothalonil 75% WP,Chilli
Chlorothalonil 75% WP,Grapes
Chlorothalonil 75% WP,Groundnut
Chlorothalonil 75% WP,Potato
Chlorothalonil 75% WP,Watermelon
Chlorpyrifos 10 % Granules,Rice (Paddy)
Chlorpyrifos 10 % Granules,Tomato
Chlorpyrifos 19% ME,Paddy
Chlorpyrifos 20 % EC,Apple
Chlorpyrifos 20 % EC,Beans
Chlorpyrifos 20 % EC,Ber
Chlorpyrifos 20 % EC,Brinjal
Chlorpyrifos 20 % EC,Cabbage
Chlorpyrifos 20 % EC,Citrus
Chlorpyrifos 20 % EC,Cotton
Chlorpyrifos 20 % EC,Gram
Chlorpyrifos 20 % EC,Groundnut
Chlorpyrifos 20 % EC,Mustard
Chlorpyrifos 20 % EC,Okra
Chlorpyrifos 20 % EC,Onion
Chlorpyrifos 20 % EC,Paddy
Chlorpyrifos 20 % EC,Paddy (Rice)
Chlorpyrifos 20 % EC,Sugarcane
Chlorpyrifos 20 % EC,Termite control
Chlorpyrifos 20 % EC,Tobacco
Chlorpyriphos 02 % w/w EC,Ready to use household insecticides
Chlorpyriphos 16 % + Alphacypermethrin 01 % EC,Cotton
Chlorpyriphos 16 % + Alphacypermethrin 01 % EC,Maize
Chlorpyriphos 75 % w/w WG,Rice
Chlorpyriphos Methyl 40 % EC,Used to control adult mosquitoes
Cinmethylin 10% EC,Rice
Cinmethylin 10% EC,Transplanted
Clethodim 13% w/w EC (Clethodim 12% w/v EC),Cotton
Clethodim 13% w/w EC (Clethodim 12% w/v EC),Onion
Clethodim 13% w/w EC (Clethodim 12% w/v EC),Soybean
Clodinafop Propargyl 15% + Metsulfuron Methyl 1% WP,Onion
Clodinafop Propargyl 15% + Metsulfuron Methyl 1% WP,Rice
Clodinafop Propargyl 15% + Metsulfuron Methyl 1% WP,Transplanted
Clodinafop Propargyl 15% + Metsulfuron Methyl 1% WP,Wheat
Clodinafop- propargyl 15%WP,Green gram
Clodinafop- propargyl 15%WP,Soybean
Clodinafop- propargyl 15%WP,Wheat
Clodinafop-Propargyl 12.25% + Oxyfluorfen 14.7% EC,Onion
Clodinafop-propargyl 12.5% EC,Green gram
Clomazone 22.5% w/w + Metribuzin 21% w/w WP,Sugarcane
Clomazone 50% EC,Rice
Clomazone 50% EC,Soybean
Clomazone 50% EC,Sugarcane
Clomazone 50% EC,Transplanted
Clothianidin 50 % WDG,Bittergourd
Clothianidin 50 % WDG,Brinjal
Clothianidin 50 % WDG,Capsicum
Clothianidin 50 % WDG,Chilli
Clothianidin 50 % WDG,Citrus
Clothianidin 50 % WDG,Cotton
Clothianidin 50 % WDG,Cotton (Soil
Clothianidin 50 % WDG,Drench)
Clothianidin 50 % WDG,Gherkins
Clothianidin 50 % WDG,Grapes (Soil
Clothianidin 50 % WDG,Groundnut (Soil
Clothianidin 50 % WDG,Okra
Clothianidin 50 % WDG,Potato
Clothianidin 50 % WDG,Rice (Paddy)
Clothianidin 50 % WDG,Ridgegourd
Clothianidin 50 % WDG,Sugarcane (Soil
Clothianidin 50 % WDG,Tea
Clothianidin 50 % WDG,Tomato
Clothianidin 50 % WDG,Watermelon
Clothianidin 50 % WDG,drench)
Copper Hydroxide 53.8% DF,Rice (Paddy)
Copper Hydroxide 61.41% WG,Chilli
Copper Hydroxide 61.41% WG,Grapes
Copper Hydroxide 61.41% WG,Rice
Copper Hydroxide 61.41% WG,Tea
Copper Hydroxide 61.41% WG,Tomato
Copper Hydroxide 77% WP,Rice (Paddy)
Copper Hydroxide 77% WP,Tea
Copper Oxychloride 47% (w/w) + Metalaxyl 8% (w/w) WP,Apple
Copper Oxychloride 47% (w/w) + Metalaxyl 8% (w/w) WP,Citrus
Copper Oxychloride 47% (w/w) + Metalaxyl 8% (w/w) WP,Pomegranate
Copper Oxychloride 47% (w/w) + Metalaxyl 8% (w/w) WP,Potato
Copper Sulphate 2.62% SC,Black gram
Copper Sulphate 2.62% SC,Chilli
Copper Sulphate 2.62% SC,Grape
Copper Sulphate 2.62% SC,Potato
Copper Sulphate 2.62% SC,Tomato
Copper oxychloride 50% WP,Banana
Copper oxychloride 50% WP,Betel
Copper oxychloride 50% WP,Cardamom
Copper oxychloride 50% WP,Chillies
Copper oxychloride 50% WP,Citrus
Copper oxychloride 50% WP,Coconut
Copper oxychloride 50% WP,Coffee
Copper oxychloride 50% WP,Grapes
Copper oxychloride 50% WP,Potato
Copper oxychloride 50% WP,Tobacco
Copper oxychloride 50% WP,Tomato
Cyantraniliprole 48% w/w FS,Maize
Cyantraniliprole 48% w/w FS,Watermelon
Cyazofamid 34.5% SC,Grapes
Cyazofamid 34.5% SC,Potato
Cyazofamid 34.5% SC,Tomato
Cyclaniliprole 8.0 % SL,Rice
Cyclaniliprole 9.3% W/W DC (Cyclaniliprole 10.0% W/V DC),Rice
Cyclobutrifluram 38.4% w/w SC (Import only),Banana
Cyclobutrifluram 38.4% w/w SC (Import only),Cucumber
Cyclobutrifluram 38.4% w/w SC (Import only),Okra
Cyclobutrifluram 38.4% w/w SC (Import only),Tomato
Cyclobutrifluram 41.6% w/w FS,Groundnut
Cyclobutrifluram 41.6% w/w FS,Rice
Cyenopyrafen 30 % SC,Apple
Cyenopyrafen 30 % SC,Brinjal
Cyenopyrafen 30 % SC,Chilli
Cyenopyrafen 30 % SC,Rose
Cyflumetofen 20 % SC,Tea
Cyfluthrin 10 % WP,(Adult
Cyfluthrin 10 % WP,"(houses, commercial establishments, etc.,)"
Cyfluthrin 10 % WP,-
Cyfluthrin 10 % WP,For house hold use Cockroach
Cyfluthrin 10 % WP,"For household use
housefly,"
Cyfluthrin 10 % WP,Health
Cyfluthrin 10 % WP,HouseflyMosquitoes
Cyfluthrin 10 % WP,"Mosquito,"
Cyfluthrin 10 % WP,"Mosquitoes
For public health only"
Cyfluthrin 10 % WP,Mosquitoes)
Cyfluthrin 10 % WP,Programme
Cyfluthrin 10 % WP,Under Public
Cyfluthrin 10 % WP,cockroach
Cyhalofop Butyl 10% EC,Aquatic Weeds
Cyhalofop Butyl 10% EC,Maize
Cyhalofop Butyl 10% EC,Non crop area
Cyhalofop Butyl 10% EC,Non crop land
Cyhalofop Butyl 10% EC,Potato
Cyhalofop Butyl 10% EC,Rice (Direct
Cyhalofop Butyl 10% EC,Sorghum
Cyhalofop Butyl 10% EC,Sugarcane
Cyhalofop Butyl 10% EC,Wheat
Cyhalofop Butyl 10% EC,seeded)
Cymoxanil 50% WP,Grapes
Cymoxanil 8%+ Mancozeb 64% WP,Citrus
Cymoxanil 8%+ Mancozeb 64% WP,Cucumber
Cymoxanil 8%+ Mancozeb 64% WP,Grapes
Cymoxanil 8%+ Mancozeb 64% WP,Onion
Cymoxanil 8%+ Mancozeb 64% WP,Potato
Cymoxanil 8%+ Mancozeb 64% WP,Tomato
Cypermethrin 00.25% DP,Brinjal
Cypermethrin 10 % EC,Brinjal
Cypermethrin 10 % EC,Cabbage
Cypermethrin 10 % EC,Cotton
Cypermethrin 10 % EC,Okra (Bhindi)
Cypermethrin 10 % EC,Sunflower
Cypermethrin 10 % EC,Wheat
Cypermethrin 25 % EC,&Gerbera)
Cypermethrin 25 % EC,Bhindi (Okra)
Cypermethrin 25 % EC,Brinjal
Cypermethrin 25 % EC,Carnation
Cypermethrin 25 % EC,Cotton
Cypermethrin 25 % EC,Dazomet
Cypermethrin 25 % EC,Sunflower
Cyphenothrin 5 % EC,Almond
Cyphenothrin 5 % EC,"Anopheles stephensi,"
Cyphenothrin 5 % EC,Cockroaches
Cyphenothrin 5 % EC,Culex quinquefasciatus
Cyphenothrin 5 % EC,"Housefly, Adult"
Cyphenothrin 5 % EC,Khapra
Cyphenothrin 5 % EC,Lesser grain
Cyphenothrin 5 % EC,Outdoor
Cyphenothrin 5 % EC,Pest
Cyphenothrin 5 % EC,Red flour
Cyphenothrin 5 % EC,Rice weevil
Cyphenothrin 5 % EC,Thermal fogging Indoor
Cyphenothrin 5 % EC,and Aedes aegypti
Cyphenothrin 5 % EC,"beetle,"
Cyphenothrin 5 % EC,borerRice
Cyphenothrin 5 % EC,"grain beetle,"
Cyphenothrin 5 % EC,mosquitoes
Cyphenothrin 5 % EC,moth
Cyphenothrin 5 % EC,"moth, Saw"
Cyphenothrin 5 % EC,toothed
DIMPROPYRIDAZ 120 g/l SL,Brinjal
DIMPROPYRIDAZ 120 g/l SL,Chilli
DIMPROPYRIDAZ 120 g/l SL,Cotton
DIMPROPYRIDAZ 120 g/l SL,Cucumber
DIMPROPYRIDAZ 120 g/l SL,Rose
DIMPROPYRIDAZ 120 g/l SL,Tomato
Deltamethrin 01.80 % EC,Cotton
Deltamethrin 01.80 % EC,Public health
Deltamethrin 01.80 % EC,Rice (Paddy)
Deltamethrin 02.80 % EC,(Arhar/Tur)
Deltamethrin 02.80 % EC,Bhindi (Okra)
Deltamethrin 02.80 % EC,Brinjal
Deltamethrin 02.80 % EC,Chilli
Deltamethrin 02.80 % EC,Cotton
Deltamethrin 02.80 % EC,Groundnut
Deltamethrin 02.80 % EC,Mango
Deltamethrin 02.80 % EC,Red Gram
Deltamethrin 02.80 % EC,Tea
Deltamethrin 11% w/w EC,Chilli
Deltamethrin 11% w/w EC,Cotton
Deltamethrin 11% w/w EC,Okra
Deltamethrin 11% w/w EC,Onion
Deltamethrin 11% w/w EC,Rice
Deltamethrin 11% w/w EC,Rice (Paddy)
Deltamethrin 11% w/w EC,Tea
Deltamethrin 11% w/w EC,Tomato
Deltamethrin 25 % Tablet,Cotton
Deltamethrin 25% WDG,"(Aedes
aegypti,"
Deltamethrin 25% WDG,(Arhar/Tur)
Deltamethrin 25% WDG,Anopheles
Deltamethrin 25% WDG,Cockroaches
Deltamethrin 25% WDG,"Housefly
(Musca"
Deltamethrin 25% WDG,Insect Pest
Deltamethrin 25% WDG,Mosquitoes
Deltamethrin 25% WDG,Name Of
Deltamethrin 25% WDG,Potato
Deltamethrin 25% WDG,Soyabean
Deltamethrin 25% WDG,domestica)
Deltamethrin 25% WDG,quinquefasciatus)
Deltamethrin 25% WDG,"stephensi,
Culex"
Diafenthiuron 40.1 % + Acetamiprid 3.9 % w/w WP,Brinjal
Diafenthiuron 40.1 % + Acetamiprid 3.9 % w/w WP,Chilli
Diafenthiuron 40.1 % + Acetamiprid 3.9 % w/w WP,Cotton
Diafenthiuron 40.1 % + Acetamiprid 3.9 % w/w WP,Maize
Diafenthiuron 50 % WP,Brinjal
Diafenthiuron 50 % WP,Cabbage
Diafenthiuron 50 % WP,Cardamom
Diafenthiuron 50 % WP,Chilli
Diafenthiuron 50 % WP,Citrus
Diafenthiuron 50 % WP,Cotton
Diafenthiuron 50 % WP,Okra
Diafenthiuron 50 % WP,Soyabean
Diafenthiuron 50 % WP,Tomato
Diafenthiuron 50 % WP,watermelon
Diclofop Methyl 28% EC,Wheat
Diclosulam 0.9% + Pendimethalin 35% SE,Groundnut (Pre-
Diclosulam 0.9% + Pendimethalin 35% SE,Soybean (Pre-
Diclosulam 0.9% + Pendimethalin 35% SE,emergence)
Diclosulam 0.9% + Pendimethalin 35% SE,incorporation)
Diclosulam 0.9% + Pendimethalin 35% SE,plant
Diclosulam 84% WDG,Groundnut
Diclosulam 84% WDG,Soybean
Difenoconazole 25% EC,Apple
Difenoconazole 25% EC,Chilli
Difenoconazole 25% EC,Cumin
Difenoconazole 25% EC,Grape
Difenoconazole 25% EC,Groundnut
Difenoconazole 25% EC,Onion
Difenoconazole 25% EC,Paddy (Rice)
Difenoconazole 25% EC,Pomegranate
Difenoconazole 3% WS,Wheat
Difenoconazole 4% + Propineb 64% DF,Apple
Difenoconazole 4% + Propineb 64% DF,Paddy
Difenoconazole 6% + validamycin 6% SC,Cucumber
Difenoconazole 6% + validamycin 6% SC,Grape
Difenoconazole 6% + validamycin 6% SC,Potato
Difenoconazole 6% + validamycin 6% SC,Rice
Difenoconazole 6% + validamycin 6% SC,Tomato
Diflubenzuron 0.1% W/W Termite Bait to be used by pest control operators only,Termites
Diflubenzuron 02 % Tablets,Mosquitoes
Diflubenzuron 02 % Tablets,Name of pest
Diflubenzuron 02 % Tablets,larvae
Diflubenzuron 25 % WP,Cotton
Dimethoate 30 % EC,Bajra
Dimethoate 30 % EC,Bhindi (okra)
Dimethoate 30 % EC,Brinjal
Dimethoate 30 % EC,Castor
Dimethoate 30 % EC,Cauliflower
Dimethoate 30 % EC,Cotton
Dimethoate 30 % EC,Maize
Dimethoate 30 % EC,Mustard
Dimethoate 30 % EC,Potato
Dimethoate 30 % EC,Rose
Dimethoate 30 % EC,Safflower
Dimethoate 30 % EC,Sorghum
Dimethomorph 50% WP,Grapes
Dimethomorph 50% WP,Potato
Dinocap 48% EC,Mango
Dinocap 48% EC,Rose
Dinotefuran 11% + Pymetrozine 36% WG,Paddy
Dinotefuran 11% + Pymetrozine 36% WG,Rice
Dinotefuran 12%+Thiamethoxam 22.5%+Pymetrozine 30% w/w WG,Paddy (Rice)
Dinotefuran 12%+Thiamethoxam 22.5%+Pymetrozine 30% w/w WG,Rice
Dinotefuran 15 % + Pymetrozine 45% WG,Rice
Dinotefuran 20 % SG,Cotton
Dinotefuran 20 % SG,Rice
Dinotefuran 20 % SG,Rice (Paddy)
Dinotefuran 4 % + Acephate 50% w/w/ SG,Brinjal
Dinotefuran 4 % + Acephate 50% w/w/ SG,Cotton
Dinotefuran 4 % + Acephate 50% w/w/ SG,Rice
Dinotefuran 5% + Ethion 50% EC,Cotton
Dinotefuran 5% + Ethion 50% EC,Rice
Dithianon 75%WP,Apple
Diuron 25.6% w/w + Glyphosate 14.4% w/w + Oxyfluorfen 11.5% w/w SC,Non-crop area
Diuron 80% WP,Cotton
Diuron 80% WP,Grapes
Emamectin Benzoate 1.1% + Diafenthiuron 30 % SC,Brinjal
Emamectin Benzoate 1.1% + Diafenthiuron 30 % SC,Chilli
Emamectin Benzoate 1.1% + Diafenthiuron 30 % SC,Cotton
Emamectin Benzoate 1.1% + Diafenthiuron 30 % SC,Paddy ( Rice)
Emamectin Benzoate 2.2% + Permethrin 15.3 % EC,Maize
Emamectin Benzoate 2.2% + Permethrin 15.3 % EC,Rice (Paddy)
Emamectin benzoate 01.90 % EC,Chick pea
Emamectin benzoate 01.90 % EC,Chilli
Emamectin benzoate 01.90 % EC,Cotton
Emamectin benzoate 01.90 % EC,Paddy
Emamectin benzoate 01.90 % EC,Soybean
Emamectin benzoate 05 % SG,(Arhar/Tur)
Emamectin benzoate 05 % SG,Brinjal
Emamectin benzoate 05 % SG,Cabbage
Emamectin benzoate 05 % SG,Chickpea
Emamectin benzoate 05 % SG,Chilli
Emamectin benzoate 05 % SG,Cotton
Emamectin benzoate 05 % SG,Grapes
Emamectin benzoate 05 % SG,Okra (Bhindi)
Emamectin benzoate 05 % SG,Red gram
Emamectin benzoate 05 % SG,Tea
Emamectin benzoate 1.9% + Chlorantraniliprole 5 % + Deltamethrin 1 % w/w EC,Chilli
Emamectin benzoate 5 % w/w + Lufenuron 40 % w/w WG,Brinjal
Emamectin benzoate 5 % w/w + Lufenuron 40 % w/w WG,Cauliflower
Emamectin benzoate 5 % w/w + Lufenuron 40 % w/w WG,Chilli
Emamectin benzoate 5 % w/w + Lufenuron 40 % w/w WG,Maize
Emamectin benzoate 5 % w/w + Lufenuron 40 % w/w WG,Paddy ( Rice)
Emamectin benzoate 5 % w/w + Lufenuron 40 % w/w WG,Tea
Emamectin benzoate 5 % w/w + Lufenuron 40 % w/w WG,Tomato
Ethaboxam 40% SC,Grape
Ethaboxam 40% SC,Potato
Ethalfluralin 35.65% w/w EC (36% EC),(Transplanted &
Ethalfluralin 35.65% w/w EC (36% EC),Cotton
Ethalfluralin 35.65% w/w EC (36% EC),Direct Seeded)
Ethalfluralin 35.65% w/w EC (36% EC),Potato
Ethalfluralin 35.65% w/w EC (36% EC),Rice
Ethalfluralin 35.65% w/w EC (36% EC),Soyabean
Ethalfluralin 35.65% w/w EC (36% EC),Sugarcane
Ethalfluralin 35.65% w/w EC (36% EC),Transplanted
Ethion 50 % EC,Chilli
Ethion 50 % EC,Cotton
Ethion 50 % EC,Godown
Ethion 50 % EC,Gram
Ethion 50 % EC,Pigeon pea or
Ethion 50 % EC,Redgram
Ethion 50 % EC,Tea
Ethion 50 % EC,fumigation
Ethiprole 10.7% + Pymetrozine 40% WG,Rice
Ethiprole 10.7% + Pymetrozine 40% WG,Rice (Paddy)
Etoxazole 10 % SC,Apple
Etoxazole 10 % SC,Brinjal
Etoxazole 10 % SC,Tea
Famoxadone16.6%+ Cymoxanil22.1%SC,Gherkin
Famoxadone16.6%+ Cymoxanil22.1%SC,Grapes
Famoxadone16.6%+ Cymoxanil22.1%SC,Potato
Famoxadone16.6%+ Cymoxanil22.1%SC,Tomato
Fenamidone 4.44%+ Fosetyl-AL 66.7%WDG,Grape
Fenamidone10%+ Mancozeb50%WG,Aphids
Fenamidone10%+ Mancozeb50%WG,Apple
Fenamidone10%+ Mancozeb50%WG,Banana
Fenamidone10%+ Mancozeb50%WG,Chilli
Fenamidone10%+ Mancozeb50%WG,Coffee
Fenamidone10%+ Mancozeb50%WG,Cotton
Fenamidone10%+ Mancozeb50%WG,Cucumber
Fenamidone10%+ Mancozeb50%WG,Cumin
Fenamidone10%+ Mancozeb50%WG,Grape
Fenamidone10%+ Mancozeb50%WG,Grapes
Fenamidone10%+ Mancozeb50%WG,Groundnut
Fenamidone10%+ Mancozeb50%WG,Maize
Fenamidone10%+ Mancozeb50%WG,Mango
Fenamidone10%+ Mancozeb50%WG,Onion
Fenamidone10%+ Mancozeb50%WG,Paddy (Rice)
Fenamidone10%+ Mancozeb50%WG,Potato
Fenamidone10%+ Mancozeb50%WG,Rice (Paddy)
Fenamidone10%+ Mancozeb50%WG,Soybean
Fenamidone10%+ Mancozeb50%WG,Tomato
Fenamidone10%+ Mancozeb50%WG,Wheat
Fenazaquin 10 % EC,Apple
Fenazaquin 10 % EC,Brinjal
Fenazaquin 10 % EC,Chilli
Fenazaquin 10 % EC,Okra (Bhindi)
Fenazaquin 10 % EC,Tea
Fenazaquin 10 % EC,Tomato
Fenazaquin 18.3 % SC,Apple
Fenazaquin 18.3 % SC,Brinjal
Fenazaquin 18.3 % SC,Chilli
Fenazaquin 18.3 % SC,Godown
Fenazaquin 18.3 % SC,Millets
Fenazaquin 18.3 % SC,Okra
Fenazaquin 18.3 % SC,Pulses
Fenazaquin 18.3 % SC,Stored
Fenazaquin 18.3 % SC,Tea
Fenazaquin 18.3 % SC,Tomato
Fenazaquin 18.3 % SC,cereals
Fenazaquin 18.3 % SC,fumigation
Fenazaquin 18.3 % SC,whole
Fenmezoditiaz 200g/L SC,Rice
Fenmezoditiaz 200g/L SC,Tomato
Fenobucarb (BPMC) 50 % EC,Rice
Fenoxaprop-p-Ethyl 5% + Chlorimuron Ethyl 0.6% + Pretilachlor 50 % ME,Transplanted
Fenoxaprop-p-Ethyl 5% + Chlorimuron Ethyl 0.6% + Pretilachlor 50 % ME,paddy
Fenoxaprop-p-ethyl 6% + Chlorimuron ethyl 0.9% + Imazethapyr 10% SC,Soybean
Fenoxaprop-p-ethyl 7.77% w/w + Metribuzin 13.6% w/w EC,Soybean
Fenoxaprop-p-ethyl 7.77% w/w + Metribuzin 13.6% w/w EC,Wheat
Fenpropathrin 10 % EC,Cotton
Fenpropathrin 30 % EC,Cotton
Fenpropathrin 30 % EC,Rice
Fenvalerate 20 % EC,Brinjal
Fenvalerate 20 % EC,Cabbage
Fenvalerate 20 % EC,Cauliflower
Fenvalerate 20 % EC,Chilli
Fenvalerate 20 % EC,Cotton
Fenvalerate 20 % EC,Okra (Bhindi)
Fenvalerate 20 % EC,Rice
Fenvalerate 20 % EC,Sugarcane
Fipronil 02.92 % EC,(Building)
Fipronil 02.92 % EC,Post-construction
Fipronil 02.92 % EC,Pre-construction
Fipronil 02.92 % EC,Rice
Fipronil 04 % + Acetamiprid 04 % w/w SC,Cotton
Fipronil 10% + Diafenthiuron 30% w/w WG,Brinjal
Fipronil 10% + Diafenthiuron 30% w/w WG,Chilli`
Fipronil 10% + Diafenthiuron 30% w/w WG,Cucumber
Fipronil 10% + Diafenthiuron 30% w/w WG,Rice
Fipronil 10% + Diafenthiuron 30% w/w WG,Tea
Fipronil 10% + Diafenthiuron 30% w/w WG,Tomato
Fipronil 15% + Chlorantraniliprole 5% w/v SC,Rice
Fipronil 15% + Deltamethrin 2.5% w/v SC,Tomato
Fipronil 15% + Flonicamid 15% WDG,Brinjal
Fipronil 15% + Flonicamid 15% WDG,Chilli
Fipronil 15% + Flonicamid 15% WDG,Cotton
Fipronil 15% + Flonicamid 15% WDG,Paddy
Fipronil 15% + Flonicamid 15% WDG,Tomato
Fipronil 15% + Flonicamid 15% WDG,Wheat
Fipronil 15% + Imidacloprid 5% w/v SC,Cotton
Fipronil 18.87 % w/w SC,Chilli
Fipronil 18.87 % w/w SC,Cotton
Fipronil 18.87 % w/w SC,Rice
Fipronil 40 % + Imidacloprid 40 % WG,Chilli
Fipronil 40 % + Imidacloprid 40 % WG,Cotton
Fipronil 40 % + Imidacloprid 40 % WG,Groundnut
Fipronil 40 % + Imidacloprid 40 % WG,Rice
Fipronil 40 % + Imidacloprid 40 % WG,Sugarcane
Fipronil 80 % WG,Cabbage
Fipronil 80 % WG,Chilli
Fipronil 80 % WG,Cotton
Fipronil 80 % WG,Grapes
Fipronil 80 % WG,Onion
Fipronil 80 % WG,Rice
Flazasulfuron 10% w/w WP,Sugarcane
Flocoumafen 0.005% Block Bait (Strom),Cotton
Flocoumafen 0.005% Block Bait (Strom),Potato
Flometoquin 10% SC,Cabbage
Flometoquin 10% SC,Chilli
Florpyrauxifen-benzyl 1.31% w/w +Penoxsulam 2.1% w/w OD,Direct
Florpyrauxifen-benzyl 1.31% w/w +Penoxsulam 2.1% w/w OD,Rice
Florpyrauxifen-benzyl 1.31% w/w +Penoxsulam 2.1% w/w OD,Transplanted
Florpyrauxifen-benzyl 1.31% w/w +Penoxsulam 2.1% w/w OD,seeded rice
Florpyrauxifen-benzyl 2.13% w/w + Cyhalofop-butyl 10.64% w/w EC,Direct seeded
Florpyrauxifen-benzyl 2.13% w/w + Cyhalofop-butyl 10.64% w/w EC,Rice
Florpyrauxifen-benzyl 2.13% w/w + Cyhalofop-butyl 10.64% w/w EC,Transplanted
Florpyrauxifen-benzyl 2.13% w/w + Cyhalofop-butyl 10.64% w/w EC,rice
Florpyrauxifen-benzyl 2.7% w/w EC,Direct seeded
Florpyrauxifen-benzyl 2.7% w/w EC,Rice
Florpyrauxifen-benzyl 2.7% w/w EC,Transplanted
Florpyrauxifen-benzyl 2.7% w/w EC,rice
Fluazifop-p-butyl 11.1% w/w + Fomesafen 11.1% w/w SL,Groundnut
Fluazifop-p-butyl 11.1% w/w + Fomesafen 11.1% w/w SL,Soybean
Fluazifop-p-butyl 11.1% w/w + Fomesafen 11.1% w/w SL,Wheat
Flubendiamide 00.70 % GR,Paddy (Rice)
Flubendiamide 20 % WG,(Tur/Arhar)
Flubendiamide 20 % WG,Bengal gram
Flubendiamide 20 % WG,Black gram
Flubendiamide 20 % WG,Cabbage
Flubendiamide 20 % WG,Chilli
Flubendiamide 20 % WG,Cotton
Flubendiamide 20 % WG,Groundnut
Flubendiamide 20 % WG,Maize
Flubendiamide 20 % WG,Pigeon pea
